highwayid,direction,highwayname,oppositehighwayid
614,WEST,R5 I-84,
0,unkn,n/a,
615,EAST,R5 I-84,
16,SOUTH,US 99E,
61,SOUTH,SR 7,
65,SOUTH,SR 97,
69,SOUTH,SR 101,
71,SOUTH,SR 103,
73,SOUTH,SR 105,
77,SOUTH,SR 123,
79,SOUTH,SR 131,
81,SOUTH,SR 141,
85,SOUTH,SR 197,
87,SOUTH,SR 401,
89,SOUTH,SR 409,
91,SOUTH,SR 411,
95,SOUTH,SR 433,
97,SOUTH,SR 501,
101,SOUTH,SR 503,
105,SOUTH,SR 505,
109,SOUTH,SR 507,
57,WEST,SR 4,
59,WEST,SR 6,
63,WEST,SR 12,
67,WEST,SR 100,
75,WEST,SR 122,
83,WEST,SR 142,
93,WEST,SR 432,
99,WEST,SR 502,
103,WEST,SR 504,
107,WEST,SR 506,
111,WEST,SR 508,
18,WEST,US 30,
14,WEST,US 26-MT HOOD HWY,
20,SOUTH,US 99W,
22,SOUTH,213,
24,WEST,212/224,
603,SOUTH,Delta Hwy,
613,CONST,Staleys,
15,NORTH,US 99E,
60,NORTH,SR 7,
64,NORTH,SR 97,
68,NORTH,SR 101,
70,NORTH,SR 103,
72,NORTH,SR 105,
76,NORTH,SR 123,
78,NORTH,SR 131,
80,NORTH,SR 141,
84,NORTH,SR 197,
86,NORTH,SR 401,
88,NORTH,SR 409,
90,NORTH,SR 411,
94,NORTH,SR 433,
96,NORTH,SR 501,
100,NORTH,SR 503,
104,NORTH,SR 505,
108,NORTH,SR 507,
56,EAST,SR 4,
58,EAST,SR 6,
62,EAST,SR 12,
66,EAST,SR 100,
74,EAST,SR 122,
82,EAST,SR 142,
92,EAST,SR 432,
98,EAST,SR 502,
102,EAST,SR 504,
106,EAST,SR 506,
110,EAST,SR 508,
17,EAST,US 30,
13,EAST,US 26-MT HOOD HWY,
19,NORTH,US 99W,
21,NORTH,213,
23,EAST,212/224,
604,NORTH,Salem I-5,
607,WEST,Mt. Hood,
606,EAST,Mt. Hood,
601,WEST,Beltline Hwy,
600,EAST,Beltline Hwy,
612,CONST,Construction,
602,NORTH,Delta Hwy,
605,SOUTH,Salem I-5,
609,WEST,DS,
611,SOUTH,DS,
608,EAST,DS,
610,NORTH,DS,
616,EAST,R2 Beltline Hwy,617
617,WEST,R2 Beltline Hwy,616
618,NORTH,R2 Delta Hwy,619
619,SOUTH,R2 Delta Hwy,618
620,EAST,R2 OR18,621
621,WEST,R2 OR18,620
622,NORTH,R2 OR99W,623
623,SOUTH,R2 OR99W,622
624,EAST,R4 Century Dr,625
625,WEST,R4 Century Dr,624
626,SOUTH,R2 I-5,
627,EAST,R2 Staleys,
10,SOUTH,OR-217,9
12,WEST,US26,11
2,SOUTH,I-5,1
4,SOUTH,I-205,3
6,SOUTH,I-405,5
8,WEST,I-84,7
51,WEST,SR 14,50
53,WEST,SR 500,52
55,SOUTH,WA I-205,54
502,SOUTH,WA I-5,501
1,NORTH,I-5,2
3,NORTH,I-205,4
5,NORTH,I-405,6
7,EAST,I-84,8
50,EAST,SR 14,51
52,EAST,SR 500,53
54,NORTH,WA I-205,55
501,NORTH,WA I-5,502
11,EAST,US26,12
9,NORTH,OR-217,10
